NameKlinik,Titel,DatumBewertung,Fachbereich,Erfahrungsbericht,Gesamtzufriedenheit,QualitätBeratung,MedizBehandlung,VerwaltungAblaeufe
Klinik Am Zuckerberg,Rund um wohl Paket,06.05.2021,Chirurgie,"Ich bin als Ambulante Patientin in die Klinik eingewiesen worden.
Super Organisation ganz tolle Schwestern ganz besonderen Lob möchte ich an den Schwestern der Aufwachstation geben ich habe mich rund um wohl gefühlt.
Ich kann die Klinik mit gutem Gewissen mit den Erfahrungen die ich gemacht habe weiter geben.
LG Conni",star-6,star-4,star-6,star-4
Klinik Am Zuckerberg,Eine besondere Klinik,09.04.2021,Chirurgie,"Sehr freundliches und kompetentes Personal. Eine angenehme Atmosphäre. Auch der Umgang vom Personal untereinander zeugt von einem guten Arbeitsklima, das überträgt sich auf die Patienten. Ich habe mich vom ersten Moment wohl gefühlt. Und würde mich jederzeit dort wieder operieren lassen. Vielen Dank.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Ich kann die Klinik am Zuckerberg nur empfehlen,07.12.2020,Neurochirurgie,"Also ich war positiv überrascht man merkte kaum das man in einer Klinik ist
Sehr freundliches Personal von der Raumpflegerin und dem OPTeam und den Schwestern und Pflegepersonal bis hin zum Artz
Das Essen war gut und reichlich.Für mich von 5Sternen 5Sterne",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Jeder Zeit wieder,14.10.2020,Gefäßchirurgie,"Vielen Dank. Ich wurde von einem sehr freundlichen und hilfsbereiten Team, in Empfang genommen und Behandelt/Betreut, habe mich sehr gut aufgehoben gefühlt. Eine schöne Stimmung im Team, davon provitieren die Patienten.... Tiptop",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Kasperczyk,03.10.2020,Neurochirurgie,Ich wurde vor 2 Wochen von Dr. Diab operiert. Ich möchte mich auf diesem Wege hier recht herzlich bedanken an die hervorragende Leistung von Dr Diab und seinen zwei Helfern Tunza und Nathalia. Ich fühlte mich sehr gut aufgehoben im OP. Mir wurden meine Ängste sofort genommen. Die waren sehr nett und sehr lustig. Auch die Schwestern auf der Station waren sehr freundlich. Ich würde die Kompetenz und Leistung von Dr.Diab jedem weiterempfehlen.,star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Neurochirurgie,26.08.2020,Neurochirurgie,"Facettensyndrom von Dr.Koufoglou und seinem netten Kollegen operativ behoben.
Sehr Freundlich und Kompetent...werde beide Fachärzte jederzeit weiter empfehlen.
Bis auf den älteren Narkose Arzt am Tag der OP, sind Alle Mitarbeiter in der Zuckerbergklinik Freundlich....man fühlt sich sehr gut aufgehoben...",star-6,star-6,star-6,star-4
Klinik Am Zuckerberg,Tolle Klinik und toller Arzt,05.07.2020,Neurochirurgie,"Eine tolle Klinik nettes Pflegepersonal super Ambiente und tolles Essen.
Von dieser Klinik können sich andere Kliniken ne Scheibe abschneiden. Schön das mein Arzt Dr.Koufoglou mit dieser Klinik zusammenarbeitet.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Sehr zu empfehlen,03.05.2020,Chirurgie,"Im allgemeinen nichts negatives auszusetzen, das ganze Personal und die Ärzte nett und freundlich, fühlte mich dort gut aufgehoben und würde jederzeit wieder die Klinik aufsuchen . Kann ich nur weiterempfehlen !! Vielen Dank noch mal an alle für die gute Betreuung!",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,OP Vorbereitungsteam am 25.11.2019,09.12.2019,Gefäßchirurgie,"An der fachlichen Kompetenz gibt es keine Zweifel aber dem OP-Vorbereitungsteam fehlt es hier scheinbar an Empathie. Gerade diese ist doch wichtig wenn Du im OP liegst und alles mitbekommst. Statt netter, beruhigender Worte gab es das Gefühl der Angst. Hinzu kommt das ein kleiner, vollbärtiger OP Vorbereiter beim desinfizieren meines Beines alles in den Intimbereich laufen ließ. Beim Hinweis das dies schmerzhaft brennt, wurde nur abwerten gesagt O-Ton: Das hört wieder auf"". Eine Vorlage hätte den Intimbereich schützen können. Es stellt sich auch im Nachgang für mich die Frage ob jeder sein Bein so hoch halten kann?! Locker gespreizt das Hautdesinfektionsmittel in den ungeschützten Intimbereich laufen lassen und das nicht nur bei einer Frau, auch andere Damen mussten dies über sich ergehen lassen. Muss das sein?",star-4,star-4,star-6,star-4
Klinik Am Zuckerberg,Leichter durchs Leben ohne Krampfadern,07.03.2019,Gefäßchirurgie,"Vor ca. zwei Jahren war ich bei Chefarzt Dr. Paul v.d. Driesch zu einer ambulanten Krampfaderoperation.
Er operiert zusammen mit seiner Frau. Die beiden
Ärzte sind ein gutes Team.

Sie haben großes Fachwissen, sind sehr erfahren, beruhigend und vermitteln von Anfang an großes Vertrauen.

Ich kam jetzt zur Kontrolluntersuchung.
Alles ist ok..An meinen Beinen sieht man gar nichts mehr, auch der Druckschmerz in meiner Kniekehle ist nicht mehr da. Die Operation hat sich wirklich gelohnt.

Ich bin sehr dankbar, dass mir Hr. Dr. Paul v.d. Driesch zu dieser Operation geraten hat.
Mein Gang ist um vieles leichter geworden.


Mit freundlichem Gruß
M. Düerkop aus Salzgitter",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Berufliche Erfahrung im Doppelpack,04.03.2019,Gefäßchirurgie,Ich wurde zum zweiten Mal ambulant in lokaler Betäubung von Chefarzt Herrn Dr.v.d.Driesch und seiner Frau operiert. Erneut überzeugte mich die große berufliche Erfahrung und das umfangreiche Wissen des Arztehepaares. Die Atmosphäre im OP war auch diesmal sehr entspannt. Besonders die Freundlichkeit und liebevolle Zuwendung von Frau Dr.v.d.Driesch möchte ich gerne hervorheben. Nicht selbstverständlich und wirkt auf ängstliche Patienten wie mich absolut beruhigend. Mit dem Ergebnis bin ich sehr zufrieden. Nach der Operation hatte ich keinerlei Beschwerden.,star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,kurzer effektiver Aufenthalt,17.01.2019,Gefäßchirurgie,Ich wurde bei Herrn Chefarzt Dr. P. v. d. Driesch an Krampfadern operiert. Die gemeinsame Zusammenarbeit des Arztehepaares vermittelte mir schon bei Aufnahme das Gefühl einer gewissen Sicherheit. Alle Bedenken wurden durch freundliche und ausführliche Antworten entkräftet. Dies setzte sich im OP fort. Besonders angenehm ist auch die persönliche Nachbetreuung durch den Chef selbst. Er nimmt sich sehr viel Zeit und ist jederzeit für jedes Problem ansprechbar. Auch das Pflegepersonal war zum größten Teil sehr freundlich und unterstützend.,star-6,star-6,star-6,star-4
Klinik Am Zuckerberg,Weitestgehend zufriedenstellend,15.01.2019,Plastische Chirurgie,"Ich habe in der Klinik eine plastische OP durchführen lassen. Bei der telefonischen Terminvergabe des Narkosegesprächs gab es einige Schwierigkeiten. Der gebuchte Anruftermin wurde seitens der Klinik versäumt. Auf Nachfrage meinerseits war die Dame am Telefon nicht besonders freundlich. Der OP Verlauf an sich war zufriedenstellend. Das Personal an der Rezeption sowie das Pflegepersonal waren sehr freundlich. Bei der Nachsorge nach der OP allerdings habe ich die Gründlichkeit und Intensität eines regulären Krankenhauses vermisst. So lag ich nach der OP stundenlang alleine in meinem Zimmer ohne Kontrolle durch das Personal trotz gesundheitlicher Verschlechterung. Erst auf Anruf meinerseits wurde gehandelt bzw. das Problem erst erkannt. Von daher wäre eine sorgfältigere und engmaschigere Nachsorge wünschenswert. Das Gebäude der Klinik an sich ist ausreichend ansprechend, könnte allerdings meiner Meinung nach einige Renovierungs- und Modernisierungsmaßnahmen nach all den Jahren vertragen. Den Einzelzimmerzuschlag bei Selbstzahlern finde ich mit 100 Euro pro Tag zu hoch. Ansonsten war mein gesamter Eingriff dort weitestgehend zufriedenstellend.",star-4,star-2,star-6,star-4
Klinik Am Zuckerberg,Professionell und kompetent,19.12.2018,Gefäßchirurgie,"Ich bin froh, dass ich mich für die Klinik Am Zuckerberg entschieden habe. Erneut wurde ich von Chefarzt Dr.P.v.d.Driesch an Krampfadern operiert. Die Vorbereitung lief wieder sehr persönlich und mit viel Zeit ab. Das Arztehepaar ist sehr professionell und kompetent. Die OP und die Nachbetreuung waren wieder sehr angenehm und äußerst empfehlenswert.
Beeindruckt bin ich von dem persönlichen Einsatz von Herrn Dr.v.d.Driesch. Er ist mit großer Leidenschaft und immer guter Laune ganz in seinem Element. Die Nachsorge wird von ihm persönlich durchgeführt, auch am Wochenende.Ich habe mich rundherum sehr gut aufgehoben gefühlt.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Krampfadern,08.11.2018,Gefäßchirurgie,"Ich kenne den Chefarzt schon länger und schätze ihn sehr.Nachdem ich mehrfach von ihm in Vollnarkose operiert wurde und bereits sehr gute Erfahrungen sammeln konnte,wurde ich jetzt das 1. Mal in lokaler Betäubung an den Krampfadern operiert.

Das Arztehepaar ist zusammen im OP und strahlt Ruhe und Gelassenheit aus und ich fühlte mich sehr gut aufgehoben. Man muss wirklich keine Angst haben.
Ich war wie immer sehr zufrieden und kann die Klinik, den Chefarzt und das Betreuungspersonal aus voller Überzeugung weiter empfehlen.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Persönlicher Erfahrungsbericht,14.10.2018,Gefäßchirurgie,Ich sollte ursprünglich in Narkose in der Klinik am Zuckerberg von dem Chefarzt Dr. P. von den Driesch operiert werden. Nach ausführlicher Beratung durch das Arztehepaar von den Driesch ließ ich mich von einer Lokalanästhesie überzeugen. Ich kann hiermit allen anderen Patienten die Angst nehmen. Der Eingriff und die Betäubung verliefen wunderbar. Das Arztehepaar spricht während der Op mit einem und die Stimmung im Saal war Klasse mit total entspannter Atmosphäre.,star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Mein Klinikaufenthalt von 4 Tagen,14.09.2018,Urologie,"Gesamteindruck ist sehr gut
Zimmer und inneres Gebäude sehr gut
Personal nett, freundlich und schnell erreichbar
Verpflegung sehr gut, geschmacklich sehr gut mit Liebe angerichtet
Versorgung und Betreung sehr gut
OP sehr gut",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Krampfadern OP,05.06.2018,Gefäßchirurgie,Ich kam zu einer ambulanten Krampfadernoperation in lokaler Betäubung. Der Chefarzt und seine Frau haben mir gleich die Angst genommen und ich habe mich sofort sehr wohl gefühlt. Er ist sehr professionell und kompetent. Ich bin total zufrieden und werde sehr gerne wieder die Klinik aufsuchen.,star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Kompetenz fördert Vertrauen,07.05.2018,Gefäßchirurgie,"Ich war schon mehrfach Patientin beim Chefarzt. Nun sollte eine Operation das erste Mal in örtlicher Betäubung durchgeführt werden. Schon die kompetente Vorbereitung zur Operation durch das Ehepaar von den Driesch nahm mir die Angst. Die Operation verlief vollständig problemlos. Während der Operation konnte ich mit meiner Ärztin sprechen, was mich erleichterte und mich sehr beruhigte. Zwischenzeitlich ist fast nichts mehr von dem Eingriff zu erkennen und ich hatte keinerlei Beschwerden. Insgesamt eine sehr gute Erfahrung für mich.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Wollte Höcker entfernen und werde angemotzt..,27.04.2018,Hals-Nasen-Ohren,"Ich gehe zum Beratungsgespräch und der Arzt wird plötzlich auf dem Handy angerufen und redet erstmal 10 Min als wäre ich Luft.. Wollte mir zur Nasenkorrektur von ihm eine 2.Meinung holen und werde angemacht, dass ich ja dann gar nicht hätte kommen sollen und die Zeit mir verwendet wurde! Super unfreundlich..",star-2,star-0,star-2,star-2
Klinik Am Zuckerberg,Sehr zufrieden,24.04.2018,Gefäßchirurgie,"Ich bin sehr froh, dass ich mich für die Klinik am Zuckerberg entschieden habe, um meine Venen operieren zu lassen.
Der Chefarzt ist ein sehr kompetenter und erfahrender Arzt, dem ich von der ersten OP an sofort vertraut habe.
Er hat bei mir eine andere Erkrankung als Erster erkannt, die nichts mit Venen zu tun hat und sich persönlich um die weiteren Schritte diesbezüglich gekümmert. Ich bin ihm sehr dankbar, dass er mich auch in dieser Situation bestens umsorgt hat.
Ich war schon mehrfach seine Patientin. Nach keiner meiner Operationen hatte ich Beschwerden und bin mit der Behandlung äußerst zufrieden. Besonders beruhigend empfinde ich auch, dass die Nachsorge von ihm persönlich durchgeführt wird und er selbst am Wochenende in Notfällen erreichbar ist.
Er ist ein Arzt mit großer Leidenschaft für seinen Beruf und seine Patienten.
Gemeinsam mit seiner Frau verbreitet er eine angenehme Atmosphäre in der Klinik.
Ich kann ihn aus vollster Überzeugung weiter empfehlen.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Erfahrungsbericht,30.03.2018,Gefäßchirurgie,"Ich wurde durch den Chefarzt an den Krampfadern operiert.
Ich bin sehr zufrieden und sehr beeindruckt von dem Einsatz, den er tagtäglich mit guter Laune und Leidenschaft für seine Patienten erbringt. Er ist von morgens bis abends im Einsatz und kommt sogar am Wochenende persönlich zu seinen Patienten.
Ich fühlte mich bestens betreut.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Die Klinik am Zuckerberg ist die beste Klinik die ich kenne,03.03.2018,Gefäßchirurgie,"Ich hatte das große Glück solch einen großartigen Operateur wie den Chefarzt kennenzulernen, bei dem ich schon mehrfach Patientin war. Mit dem operativen Ergebnis bin ich wieder äußerst zufrieden, die kleinsten Schnitte waren jedes Mal rasch verheilt. Auch die Nachsorge übernahm er selbst, so dass ich mich wie immer sehr gut aufgehoben und in besten Händen fühlte. Befreit von Krampfadern und Schmerzen bin ich überaus glücklich und sehr dankbar. Mein Dank geht auch an alle Mitarbeiter dieser Klinik. Die Klinik am Zuckerberg erhält von mir die Bewertung: Sehr gut!",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,OP zwecks Venenprobleme,21.02.2018,Gefäßchirurgie,"Ich war das erste Mal hier und empfand sofort eine Sympathie für seine herzliche und verbindliche Art; er nahm sich viel Zeit für mein Anliegen und behandelte mich kompetent und stets mit einer ordentlichen Prise ""Menschlichkeit"".

In anderen Kliniken erlebte ich schon andere böse Überraschungen - was hier NICHT der Fall war.

Während des gesamten staionären Aufenthaltes fühlte ich mich bestens von meinem Arzt betreut und auch wirklich ernst genommen in meinen Belangen.

Sogar die Nachbetreuung übernahm er selbst und reichte mich nihct an andere weiter zwecks Behandlung, wie dies in anderen Kliniken leider oft der Fall ist.

Und auch mit dem Ergebnis seiner arbeit bin ich sehr zufrieden - diese kann sich sehen lassen.

Und das Pflegepersonal nihct zu vergessen: hier empfand ich diese Prise Menschlichkeit ebenfalls.

Ich kann diese Klinik nur weiterempfehlen.

In diesem Sinne: DANKE",star-4,star-6,star-6,star-6
Klinik Am Zuckerberg,Chefarzt,14.02.2018,Gefäßchirurgie,"Schon bei der Aufnahme zur Operation überzeugte mich die familiäre Atmosphäre die der Chefarzt der Klinik am Zuckerberg durch seine ruhige, erfahrene und liebevolle Art ausstrahlt.
Auch die Operation selbst verlief vollkommen problemlos und das Ergebnis ist bestens, nicht nur medizinisch sondern auch Kosmetisch.
Auch bei der Nachsorge, die von dem Chefarzt selbst erfolgte, fühlte ich mich wieder gut aufgehoben.
Obwohl der Chefarzt bekannt dafür ist, dass er rund um die Uhr für seine Klinik da ist, strahlt er immer Ruhe aus.
Er ist ein äußerst einfühlsamer und vertrauensvoller Arzt.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Krampfadern,11.02.2018,Gefäßchirurgie,"Bei mir wurde in der Klinik am Zuckerberg die Hauptvene gezogen. Behandelt wurde ich vom Chefarzt, welcher mir alles genau erklärt und sich, entsprechend seines Rufes, viel Zeit für mich genommen hatte. Ich fühlte mich sofort gut aufgehoben und kann anderen Patienten die Angst vor dieser Operation nehmen. Das Ergebnis ist klasse und ich bin sehr zufrieden. Diesen Arzt kann ich deshalb nur wärmstens empfehlen. Besonders möchte ich noch betonen, dass der Chefarzt auch die komplette Nachsorge selbst durchgeführt hat, was einem das Gefühl der Sicherheit gibt.",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Erfahrungsbericht,04.02.2018,Gefäßchirurgie,"Ich war schon mehrfach Patientin beim Chefarzt.
Auch diesmal empfand ich wieder die familiäre Atmosphäre des Hauses,die er und seine Frau ausstrahlen.
Er ist ein sehr kompetenter, einfühlsamer und geduldiger Arzt und er ist immer für mich da !
Ich komme immer gern wieder,auch zur Nachsorge, die von ihm persönlich durchgeführt wird.
Ein Lob auch an die Küche für das reichhaltige Essen !",star-6,star-6,star-6,star-6
Klinik Am Zuckerberg,Tolle ärztliche Betreuung !!!,16.01.2018,Gefäßchirurgie,"Ich wurde von einer Bekannten auf die Zuckerberg Klinik aufmerksam gemacht. Ich habe daraufhin einen ersten Beratungstermin telefonisch vereinbart. Der Chefarzt hat mich vor untersucht. Während der Untersuchung hat er sich für meine aufkomenden Fragen und Anmerkungen ausreichend genügend Zeit genommen und mir alle Operationsmöglichkeiten ausführlich und sehr verständlich erklärt und eingehend beraten.
Die Operationsvorbereitung und die Nachbehandlung verliefen zu meiner vollsten Zufriedenheit. Das OP
Ergebnis hat mich überzeugt. Die Nachsorge nach der Entlassung ( Freitag früh wurde operiert und am Sonntag Vormittag wurde ich entlassen), wurde vom Chef selbst übernommen. Bei der Betreuung habe mich stets außerordentlich wohl gefühlt.

Ich kann diese Klinik nur weiter empfehlen !!!
Kompliment auch an die tolle Küche - Man hat hier das Gefühl, man ist in einem Hotel untergebracht.
Zum Frühstück und Abendessen wird hier im Klinik
eigenen Restaurant eine tolles und abwechselungreiches Buffet angeboten.",star-6,star-6,star-6,star-4
Klinik Am Zuckerberg,Sehr zufrieden mit der Klinik,07.12.2017,Plastische Chirurgie,"Ich war über einen Belegarzt zur Brustvergrößerung in der Klinik. Das Erscheinungsbild ist von außen und innen sehr ansprechend, die Zimmer eher wie in einem einfachen Hotel als in einem Krankenhaus, elektrische Betten, Flachbild-tv in einer guten Größe gegen Gebühr, WLAN kostenfrei, kleines Bad mit Dusche, alles sauber und ordentlich. Es gibt 3 Bett-zimmer, gegen Zuzahlung auch 2 Bett- und Einzelzimmer.
Über das Essen kann ich nicht viel sagen, da ich nur gefrühstückt habe und das Frühstück war schön angerichtet und hat gut geschmeckt. Nachmittags wurden verschiedene Säfte und Obst verteilt.

Die Krankenschwestern der Klinik sind im Durchschnitt noch jung, ich schätze Anfang / Mitte 20 und wirken absolut kompetent, waren immer freundlich und zuvorkommend, sind auf meine Fragen eingegangen. Durch meine starken Schmerzen brauchte ich doch ab und zu die Hilfe der Schwestern und kann da nur ein großes Lob abgeben; hilfsbereit und einfühlsam :-)

Zu der Klinik kann ich im Großen und Ganzes nichts Negatives sagen. Der Arzt hat damit ja nichts zu tun ;)",star-6,star-4,star-2,star-4
Klinik Am Zuckerberg,Gutes Konzept,01.12.2017,Gefäßchirurgie,"Sehr schnelle und unkomplizierte Aufnahme.
Chefarzt sehr nett und gute Aufklärung.",star-6,star-6,star-6,star-6
